;0
327;-661182.9051960418
328;121949.67440542951
329;48593.70702923788
330;1464159.3431792269
331;2513900.1356375227
332;2496079.6891995044
333;1047124.6275685001
334;-540026.6346618738
335;720840.7274506222
336;1735815.3095634696
337;432333.8119509313
338;45814.238543636166
339;-2346633.029128517
340;-1394567.445277086
341;-61330.89759629499
342;-95933.72058467008
343;-1368044.4234117873
344;-2056527.594561763
345;-584554.7038520915
346;-2237896.8327908805
347;-997669.9357979782
348;18032.988970899954
349;-925058.3581969831
350;-1646882.1506743622
351;846662.600500565
352;-1358769.1504294667
353;-440988.9490964939
354;184314.86764460336
355;-2963650.355775375
356;-3915187.0334402914
357;146015.25804526126
358;-1123968.258853362
359;-1681186.6178618744
360;-1227770.4167210823
361;460167.2774088086
362;-182092.00131248496
363;2300093.009670254
364;-821583.6156040404
365;2572834.3821477666
366;-522873.70293115266
367;-283038.43837216985
368;-1175655.6930884852
369;-1490764.3487462676
370;4311424.664349025
371;-713802.957893132
372;1375543.4921166166
373;-483975.0305538075
374;-175155.3591831657
375;-2249736.5028306777
376;7111.0068559180945
377;67752.35566323623
378;-895231.941303215
379;1123627.0936639458
380;2434936.5484117894
381;-1599578.5017080915
382;-1111148.4363858243
383;973750.5199268116
384;-1790686.798846439
385;470915.0870002592
386;18305.50746776117
387;-2988758.696566944
388;-834476.207764491
389;-976466.108286567
390;-1953241.2193931867
391;881041.1264427322
392;601314.4790106369
393;1000583.368858669
394;1502080.0986821167
395;-731830.2531004418
396;396257.2165891221
397;40598.19108962268
398;3103201.1734935762
399;-2096815.2395677604
400;-1092795.5695825587
401;-1924098.3217818798
402;-140333.70604563202
403;511725.4297966524
404;-47103.19818663946
405;219456.78000567202
406;-3312580.2471963037
407;-490706.4551641345
408;2140387.7807634305
409;219131.16675668862
410;2380774.050917929
411;-2027018.5023069396
412;2627472.944122964
413;-1742304.8842806192
414;-2611660.5574029116
415;108973.91614127625
416;508727.1704139244
417;-408673.55507118395
418;-1922597.1663148468
419;586272.2820329596
420;280810.30785391014
421;-3619699.6919474276
422;-296238.1261424497
423;-942361.4862717427
424;-1912127.1496252846
425;-447959.846678325
426;-2230702.141575152
427;-1745340.1312383572
428;2310289.3523954134
429;471249.07361482456
430;-616847.0637844685
431;-301649.4921955047
432;-1408927.2808457408
433;-1618289.5532723805
434;-782233.975011982
435;707207.5335624088
436;-2458053.4412212046
437;-989700.7859342769
438;-2390378.4488967117
439;2763287.738686387
440;1527705.6380850459
441;-934148.3736223653
442;687756.3095097067
443;-798081.4058718616
444;771169.5931873228
445;516593.7024460463
446;452397.20638567116
447;-1285570.518049459
448;1127411.0909716515
449;559908.1647308473
450;-1404907.7164727133
451;-464450.9518124319
452;-1250310.339383351
453;862258.1978942538
454;4651414.972532111
455;-2039627.849455046
456;-723897.6093670912
457;-209781.41568721924
458;222163.81981898565
459;1012153.55382794
460;-2763612.6961814715
461;-2649852.911485195
462;1122283.465746385
463;-1997214.874311164
464;-1158586.6158212337
465;623238.7182986047
466;1328483.9630527608
467;651816.4935609231
468;-1408715.3916832162
469;-1034725.0717304591
470;1495393.3536691023
471;-515501.87330409605
472;842044.080049945
473;510254.8987963665
474;-1421750.5912214785
475;-1579919.7794404356
476;-1991664.0475204668
477;-1639367.8818569058
478;-1181364.517811223
479;3348596.419870496
480;2496012.2916161353
481;1944769.4906185959
482;-98270.12910893746
483;-220231.78472179896
484;-798663.2370603168
485;-2398516.511396395
486;74470.54509508982
487;477324.82046903763
488;-2275412.843385861
489;-420894.1612369614
490;24895.868005162105
491;-2391323.4932229705
492;-463047.93654715084
493;-1146852.8124028752
494;6464325.49271973
495;-1181034.3574227402
496;1967724.0635836562
497;2211478.573656778
498;-2552331.117286478
499;-962695.6585087366
500;1276864.639542235
501;526910.9322924335
502;-2271176.050394358
503;-587227.250531272
504;-998419.7694624215
505;3374048.199314814
506;-1370635.6280169673
507;-2239731.4495952744
508;112035.40333950706
509;-131472.6121126311
510;-316400.11424732395
511;567580.9129739385
512;-1008354.4679428707
513;892595.138475826
514;-554990.9098659931
515;-178893.1843051389
516;-196883.19372818945
517;131407.8379977746
518;-1994288.233654568
519;3192989.7225004956
520;4744997.664324609
521;-60191.91824166966
522;-115114.74387599621
523;-1006125.2139884973
524;-2532795.1461301227
525;2764690.863887433
526;4667402.900831267
527;2975748.259590737
528;95175.55407076294
529;1454192.736449954
530;-365657.8423112226
531;-765649.8235357591
532;7795096.300267749
533;1063905.2838073159
534;310515.4095850359
535;-1104339.7922592866
536;-441469.1189308353
537;-377765.14877523854
538;4475613.506410858
539;-630393.8078888981
540;-487325.6892437516
541;804704.7967067081
542;823571.5169073592
543;-282574.56941628177
544;1311417.7554077625
545;-833092.712802694
546;1802674.4984329483
547;591931.2671347372
548;-2792648.176380319
549;-218708.6225544475
550;-9584.668265325017
551;-1072022.8504478997
552;-457069.6848250348
553;818495.2266349015
554;1150252.4986799294
555;2060643.2339656954
556;-2275408.7291976092
557;-3514433.654302911
558;1755194.6974027818
559;579977.4618095309
560;3006711.542850486
561;-140493.59171823878
562;7732280.722958958
563;-75173.34618908854
564;694312.9010919798
565;705408.6528056297
566;-2188531.869946719
567;2438894.418795121
568;-1252483.7409578585
569;1021711.4753337465
570;2399535.2519013826
571;1415727.7715743408
572;-185195.89291574009
573;-228741.62387583964
574;-1183454.3877547742
575;69784.2795825759
576;-684867.4584929375
577;142128.76652286015
578;256166.71214263514
579;-146966.80011223158
580;-1820673.9992245892
581;-1721641.09955404
582;1434859.55294515
583;-997226.2759897625
584;1029371.0772375746
585;1797134.0001221169
586;-927808.5864471516
587;-2972596.8273061207
588;-699810.2667251648
589;-836876.6525311302
590;-1043369.4136034145
591;-935014.8618659708
592;-780354.4355650586
593;3664739.648074179
594;208030.3235257566
595;475811.4053757787
596;-511235.92234268086
597;-4089131.1609131116
598;-1380672.493038714
599;-517298.5825601388
600;-777333.2526168969
601;1968550.5577098834
602;-1223147.6643830147
603;-661936.8853893117
604;5479259.006417617
605;-1927993.4783431315
606;356407.1686249769
607;-248732.6347734593
608;-1007910.1917656912
609;-875250.6021424383
610;-1445744.4640578795
611;-588147.713353877
612;-79136.91694375454
613;366811.44478474
614;-780720.5822138814
615;990064.0671481891
616;1620223.3985012155
617;5481943.3417478
618;4575343.942021568
619;-1107930.727764869
620;436305.8962072246
621;-352806.03806536645
622;-880004.9078587163
623;3794594.7609410756
624;-2306125.145880229
625;-1999317.5114384582
626;-2827799.7753554676
627;249692.97946500266
628;961068.1397280712
629;-646985.0343805681
630;809189.9599758051
631;777396.0571860243
632;337585.620911398
633;2500300.1393667967
634;372120.3654083139
635;-410220.8843308408
636;2986756.0981410816
637;3397184.841488677
638;-530839.3535733786
639;2146885.6730730706
640;-1239944.822257476
641;871150.8339516851
642;-1228922.4222605699
643;4378590.495406361
644;-2366495.9508521073
645;442424.1586747691
646;-15035.446223989595
647;-570573.6622630665
648;-1895360.436322894
649;-1292235.7314594407
650;-1168205.7164753862
651;-297510.79082007613
652;-652198.3183186948
653;-663607.9149489617
654;2289925.185173912
655;1168087.4107516967
656;1399846.7218794134
657;-459296.92529402743
658;5822749.247600086
659;-1040495.0111173457
660;-2164062.219712247
661;-120778.47565075941
662;1540555.4766501496
663;3085880.890849836
664;-979268.0423626509
665;-2223229.112005514
666;1091328.344919579
667;895634.1053237738
668;323107.9141039541
669;1116914.8551328033
670;-305470.1996797095
671;-198840.51494602952
672;-578129.2046470568
673;532068.8337655822
674;4255671.765153484
675;-2019859.5939423107
676;444740.7780647427
677;3805616.43178917
678;826270.1571410163
679;-1525574.261848512
680;-609339.4025522043
681;468185.3037279388
682;-904136.0439692494
683;2987876.80952709
